                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4549,                 1.5604,                 1.4998,                0.24015,                0.52647,                0.19914,                0.07032,                 2.4758,                 119.92,                 4.6389,                0.07021,                0.00331,                0.00331
                      2,                 1.3845,                 1.0408,                 1.4333,                0.46059,                0.58851,                 0.5063,                0.22706,                 1.5601,                 4.8872,                 1.8385,               0.040197,              0.0066302,              0.0066302
                      3,                 1.2897,                0.93537,                 1.3517,                0.80805,                0.46478,                0.57101,                0.36537,                 1.0811,                 1.6138,                 1.4186,                0.01017,              0.0099372,              0.0099372
                      4,                  1.207,                  0.865,                 1.3087,                 0.8147,                0.83258,                0.83627,                0.49973,                0.98487,                0.78731,                 1.2642,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1629,                 0.8108,                 1.2762,                0.88203,                 0.7975,                0.84433,                 0.5119,                0.96582,                 1.0362,                 1.2649,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1317,                 0.7909,                 1.2653,                0.81185,                 0.6694,                 0.7606,                0.46953,                0.98262,                0.92667,                 1.2725,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1058,                0.73017,                 1.2286,                0.93558,                0.30745,                 0.4326,                0.27187,                  1.639,                  2.026,                 1.9113,               0.009901,               0.009901,               0.009901
                      8,                 1.0762,                0.70649,                 1.2179,                0.86668,                0.90493,                0.91019,                0.56713,                0.95229,                0.63023,                 1.1913,              0.0098812,              0.0098812,              0.0098812
                      9,                  1.054,                 0.6952,                 1.2146,                0.85648,                0.86617,                0.87787,                0.57453,                0.83816,                0.71297,                 1.1621,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.0258,                0.66728,                 1.1863,                0.86238,                0.85229,                0.87746,                0.56131,                0.83056,                0.58212,                 1.1411,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.0296,                0.68053,                 1.1995,                0.89501,                0.92157,                 0.9414,                0.56929,                0.84792,                0.57803,                 1.1352,              0.0098218,              0.0098218,              0.0098218
                     12,                  1.038,                0.68839,                 1.2012,                   0.87,                0.80467,                0.88988,                0.55728,                0.81076,                0.68461,                 1.1282,               0.009802,               0.009802,               0.009802
                     13,                 1.0301,                0.66517,                  1.193,                0.97837,                0.85929,                 0.9339,                0.60063,                 0.9042,                 0.5769,                 1.1485,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.0076,                0.64948,                  1.185,                0.90225,                 0.8475,                0.90852,                0.61269,                0.85683,                0.54903,                 1.1433,              0.0097624,              0.0097624,              0.0097624
                     15,                0.96866,                0.59579,                 1.1627,                0.93945,                 0.8521,                0.93262,                0.61529,                0.78428,                0.76289,                  1.113,              0.0097426,              0.0097426,              0.0097426
                     16,                0.95234,                0.60034,                 1.1574,                0.91798,                0.86879,                0.93579,                0.62287,                 0.8264,                0.55615,                 1.1217,              0.0097228,              0.0097228,              0.0097228
                     17,                0.94749,                0.58692,                 1.1569,                0.92457,                0.90599,                0.90898,                0.59953,                 0.7683,                0.47097,                 1.0912,               0.009703,               0.009703,               0.009703
                     18,                0.94344,                0.58557,                 1.1395,                0.95534,                0.94518,                  0.982,                0.66074,                0.76879,                0.45847,                 1.0948,              0.0096832,              0.0096832,              0.0096832
                     19,                0.92682,                0.57045,                 1.1365,                0.96003,                0.85282,                0.97193,                0.59865,                0.81838,                0.52836,                 1.1071,              0.0096634,              0.0096634,              0.0096634
                     20,                0.94035,                0.56223,                  1.142,                0.94724,                0.89977,                0.93685,                0.59086,                 0.8214,                0.50086,                 1.1046,              0.0096436,              0.0096436,              0.0096436
